gene	P(rec)	rank	class		
ADAP1	0.128279805	6824	NA		
ADAP2	0.115774715	8144	NA		
ADAR	0.236486734	2827	NA		
ADARB1	0.134310676	6344	NA		
ADARB2	0.146375306	5563	NA		
ADAT1	0.10094547	10994	NA		
ADAT2	0.155454579	5083	NA		
ADAT3	0.115910541	8127	NA		
ADC	0.323505937	1837	NA		
ADCK1	0.134377092	6335	NA		
ADCK2	0.096236623	11710	NA		
ADCK4	0.098143924	11434	NA		
ADCK5	0.111367752	8921	NA		
ADCY1	0.180883725	4103	NA		
ADCY10	0.062614801	13963	NA		
ADCY2	0.665269012	470	NA		
ADCY3	0.177124348	4224	NA		
ADCY4	0.16481324	4657	NA		
ADCY5	0.233308409	2884	NA		
ADCY6	0.218821021	3169	NA		
ADCY7	0.20313764	3493	NA		
ADCY8	0.192244653	3789	NA		
ADCY9	0.179286724	4146	NA		
ADCYAP1	0.310979813	1945	NA		
ADCYAP1R1	0.118862514	7730	NA		
ADD1	0.390182673	1382	NA		
ADD2	0.192866265	3772	NA		
ADD3	0.152825975	5201	NA		
ADFP	0.488224407	954	NA		
ADH1B	0.435590342	1159	NA		
ADH4	0.183616472	4026	NA		
ADH5	0.344079409	1703	NA		
ADH6	0.091127287	12394	NA		
ADH7	0.266623466	2406	NA		
ADHFE1	0.594227623	635	NA		
ADI1	0.248181904	2648	NA		
ADIPOQ	0.836038254	198	NA		
ADIPOR1	0.264876265	2426	NA		
ADIPOR2	0.266352892	2413	NA		
ADK	0.686202384	435	NA		
ADM	0.43834273	1150	NA		
ADNP	0.132701202	6466	NA		
ADNP2	0.105808443	10114	NA		
ADORA1	0.238725705	2790	NA		
ADORA2A	0.419294289	1236	NA		
ADORA2B	0.18465592	4000	NA		
ADORA3	0.167540718	4567	NA		
ADPGK	0.146919843	5520	NA		
ADPRH	0.103312405	10597	NA		
ADPRHL2	0.112848157	8515	NA		
ADRA1A	0.117715129	7907	NA		
ADRA1B	0.245875425	2682	NA		
ADRA2A	0.113711828	8397	NA		
ADRA2B	0.111074415	8990	NA		
ADRA2C	0.099566983	11236	NA		
ADRB2	0.801848796	240	NA		
ADRB3	0.419642741	1233	NA		
ADRBK1	0.452178534	1096	NA		
ADRBK2	0.249744491	2619.5	NA		
ADRM1	0.117478662	7935	NA		
ADSL	0.312141418	1941	recessive		
ADSS	0.34803647	1673	NA		
ADSSL1	0.155034705	5099	NA		
AEBP1	0.149652569	5341	NA		
AEBP2	0.112629347	8624	NA		
AES	0.167651858	4560	NA		
AFAP1L1	0.103516115	10567	NA		
AFAP1L2	0.106615569	9955	NA		
AFF1	0.184805561	3994	NA		
AFF2	0.279636764	2247	NA		
AFF3	0.126108593	7002	NA		
AFF4	0.113251178	8445	NA		
AFG3L2	0.109861914	9249	NA		
AFM	0.127222355	6918	NA		
AFMID	0.21820528	3181	NA		
AFP	0.750005971	325	NA		
AFTPH	0.084849499	13025	NA		
AGA	0.22020244	3144	recessive		
AGAP1	0.107201719	9826	lof-tolerant		
AGAP2	0.233010324	2893	NA		
AGAP3	0.111898978	8809	NA		
AGBL3	0.107713756	9713	NA		
AGBL4	0.104350578	10414	NA		
AGER	0.082934529	13186	NA		
AGFG1	0.221638745	3098	NA		
AGGF1	0.095007313	11902	NA		
AGK	0.124293234	7140	NA		
AGL	0.247926148	2651	recessive		
AGMAT	0.213352866	3276	NA		
AGPAT2	0.160154929	4844	recessive		
AGPAT3	0.106970827	9880	NA		
AGPAT4	0.10604284	10065	NA		
AGPAT5	0.122798274	7315	NA		
AGPAT6	0.133401014	6413	NA		
AGPAT9	0.115110018	8216	NA		
AGPS	0.196773689	3659	recessive		
AGR2	0.102119224	10811	NA		
AGR3	0.118729391	7746	NA		
AGRN	0.644991537	515	NA		
AGRP	0.353087926	1638	NA		
AGT	0.622726026	570	recessive		
AGTPBP1	0.143214221	5730	NA		
AGTR1	0.823223772	214	recessive		
AGTR2	0.424947144	1201	NA		
AGXT	0.599816746	621	recessive		
AGXT2	0.183778376	4024	NA		
AGXT2L1	0.170160706	4476	NA		
AGXT2L2	0.121876319	7421	NA		
AHCTF1	0.094679719	11948.5	NA		
AHCTF1P	0.094679719	11948.5	NA		
AHCY	0.559365949	735	recessive		
AHCYL1	0.191058673	3824	NA		
AHCYL2	0.183530831	4029	NA		
AHI1	0.127540959	6887	recessive		
AHR	0.739853587	344	NA		
AHRR	0.16352439	4699.5	NA		
AHSA1	0.120714067	7552	NA		
AHSG	0.391861244	1375	NA		
AICDA	0.441789883	1136	recessive		
AIF1L	0.098869852	11339	NA		
AIFM1	0.37971404	1462	NA		
AIFM2	0.13527796	6268	NA		
AIFM3	0.132078639	6516	NA		
AIG1	0.083802196	13111	NA		
AIM1	0.128764455	6791	NA		
AIM1L	0.104780108	10321	NA		
AIM2	0.092936658	12196	NA		
AIP	0.133184714	6430	NA		
AIPL1	0.105689323	10137	recessive		
AIRE	0.592758671	639	NA		
AJAP1	0.124129454	7151	NA		
AK1	0.643210327	519	NA		
AK2	0.357936557	1597	NA		
AK3	0.131862093	6528	NA		
AK3L1	0.202455752	3532.5	NA		
AK3L2	0.202455752	3532.5	NA		
AK5	0.103604609	10549	NA		
AK7	0.159920885	4854	NA		
AKAP1	0.13449394	6328	NA		
AKAP10	0.130553796	6628	NA		
AKAP11	0.084193363	13073	NA		
AKAP12	0.118410506	7772	NA		
AKAP13	0.2200729	3147	NA		
AKAP14	0.085745539	12947	NA		
AKAP2	0.129024773	6770.5	NA		
AKAP3	0.105973343	10078	NA		
AKAP4	0.12717875	6924	NA		
AKAP6	0.127214612	6920	NA		
AKAP7	0.09911087	11298	NA		
AKAP8	0.271159334	2343	NA		
AKAP9	0.110600041	9083	NA		
AKIRIN1	0.112629347	8624	NA		
AKIRIN2	0.118095035	7840.5	NA		
AKNA	0.082401683	13226	NA		
AKR1A1	0.223078861	3077	NA		
AKR1B1	0.480666487	985	NA		
AKR1B10	0.319560263	1870	NA		
AKR1C3	0.306971878	1972	NA		
AKR1C4	0.154444574	5119	NA		
AKR1CL2	0.10234722	10775	lof-tolerant		
AKR1D1	0.168118871	4550	NA		
AKR7A3	0.113884197	8377	NA		
AKT1	0.999606	4	NA		
AKT1S1	0.214412396	3261	NA		
AKT2	0.55644314	746	NA		
AKT3	0.249744491	2619.5	NA		
AKTIP	0.177568541	4210	NA		
ALAD	0.55928634	736	recessive		
ALAS1	0.449441527	1106	NA		
ALAS2	0.453275704	1088	NA		
ALB	0.95809229	53	NA		
ALCAM	0.364953058	1546	NA		
ALDH18A1	0.462984671	1051	NA		
ALDH1A1	0.385668063	1428	NA		
ALDH1A2	0.219593698	3157	NA		
ALDH1A3	0.267721022	2390	NA		
ALDH1B1	0.453024581	1089	NA		
ALDH1L1	0.199044032	3610	NA		
ALDH1L2	0.104138216	10454	NA		
ALDH2	0.669890894	465	NA		
ALDH3A2	0.338419447	1745	recessive		
ALDH3B1	0.109502294	9326	NA		
ALDH3B2	0.126845058	6943	NA		
ALDH4A1	0.213049117	3281	recessive		
ALDH5A1	0.212481156	3288	recessive		
ALDH6A1	0.216944012	3198	NA		
ALDH7A1	0.378121192	1470	recessive		
ALDH8A1	0.109886525	9244	NA		
ALDH9A1	0.24685397	2667	NA		
ALDOA	0.570755004	704	recessive		
ALDOB	0.728209315	368	recessive		
ALDOC	0.432649054	1168	NA		
ALG1	0.190474266	3841	recessive		
ALG10B	0.08390667	13099	NA		
ALG12	0.140564211	5919	NA		
ALG14	0.109655219	9289	NA		
ALG2	0.201733561	3546	NA		
ALG5	0.150090771	5323	NA		
ALG6	0.175675459	4268	recessive		
ALG8	0.172846994	4372	NA		
ALG9	0.215682961	3228	NA		
ALK	0.4188181	1241	NA		
ALKBH1	0.083084904	13174	NA		
ALKBH2	0.145682281	5605	NA		
ALKBH3	0.138824902	6031	NA		
ALKBH4	0.109039527	9418	NA		
ALKBH6	0.10629606	10026	NA		
ALKBH7	0.096309259	11703	NA		
ALLC	0.144540987	5670	NA		
ALMS1	0.110409954	9127	recessive		
ALOX12	0.242839209	2720	NA		
ALOX15	0.244802424	2699	NA		
ALOX5	0.387688	1402	NA		
ALOX5AP	0.290710978	2107	NA		
ALOXE3	0.153758737	5160	recessive		
ALPI	0.909714455	111	NA		
ALPK1	0.095788976	11780	NA		
ALPK2	0.074812504	13619	NA		
ALPK3	0.113260112	8442	NA		
ALPL	0.927701469	93	NA		
ALPP	0.136737036	6147	NA		
ALPPL2	0.18722143	3912	NA		
ALS2CL	0.105832673	10110	NA		
ALS2CR12	0.058542724	14005	NA		
ALS2CR16	0.105627639	10149	NA		
ALS2CR8	0.105371305	10197	NA		
ALX1	0.103115176	10637	NA		
ALX3	0.099928334	11163	NA		
ALX4	0.216438074	3205	NA		
AMAC1L1	0.103618247	10547	NA		
AMAC1L2	0.103618247	10547	NA		
AMAC1L3	0.103618247	10547	NA		
AMACR	0.313904467	1928.5	NA		
AMBN	0.066505423	13889	NA		
AMBP	0.34303285	1713	NA		
AMBRA1	0.103634942	10541	NA		
AMD1	0.29043038	2110	NA		
AMDHD1	0.114082825	8352	NA		
AMDHD2	0.153631015	5166	NA		
AMELX	0.248019038	2650	NA		
AMFR	0.172495085	4385	NA		
AMHR2	0.158476288	4912	recessive		
AMICA1	0.119605102	7660	NA		
AMIGO1	0.118095035	7840.5	NA		
AMIGO2	0.127585098	6883	NA		
AMIGO3	0.100473713	11064	NA		
AMMECR1	0.338172505	1751	NA		
AMMECR1L	0.075906146	13583	NA		
AMN1	0.108635587	9513	NA		
AMOT	0.094904834	11917	NA		
AMOTL1	0.106591997	9959	NA		
AMOTL2	0.107187759	9831	NA		
AMPD1	0.44922254	1107	lof-tolerant		
AMPD2	0.216833222	3200	NA		
AMPD3	0.306855952	1974	NA		
AMPH	0.190536765	3837	NA		
AMT	0.277283654	2276	recessive		
AMTN	0.054672238	14036	NA		
AMY1A	0.480839273	984	NA		
AMY1B	0.40177482	1327	NA		
AMY1C	0.376317759	1478	NA		
AMY2A	0.489220371	950	NA		
AMY2B	0.387385345	1419	NA		
AMZ1	0.105882433	10099	NA		
AMZ2	0.100685366	11035	NA		
ANAPC1	0.095775606	11783	NA		
ANAPC10	0.155881126	5035.5	NA		
ANAPC11	0.061067344	13982	NA		
ANAPC13	0.112629347	8624	NA		
ANAPC2	0.116838698	8006	NA		
ANAPC4	0.124810233	7104	NA		
ANAPC7	0.164801137	4658	NA		
ANGEL1	0.087467207	12776	NA		
ANGPT1	0.397470463	1354	NA		
ANGPT2	0.10710603	9854	NA		
ANGPT4	0.118288813	7789	NA		
ANGPTL1	0.121231532	7489	NA		
ANGPTL2	0.134433557	6331	NA		
ANGPTL5	0.107154642	9845	NA		
ANGPTL7	0.12577411	7028	NA		
ANK1	0.748082358	332	NA		
ANK2	0.132102656	6513	NA		
ANK3	0.229496006	2974	NA		
ANKAR	0.096979461	11614	NA		
ANKDD1A	0.091639762	12341	NA		
ANKDD1B	0.066882148	13883	NA		
ANKFY1	0.123934314	7163	NA		
ANKHD1	0.111675782	8851.5	NA		
ANKK1	0.109659658	9288	NA		
ANKLE1	0.094390613	11994	NA		
ANKRA2	0.120801783	7541	NA		
ANKRD1	0.156925032	4975	NA		
ANKRD11	0.107360998	9788	NA		
ANKRD12	0.100989873	10986	NA		
ANKRD13A	0.092643329	12228	NA		
ANKRD13B	0.110593276	9085	NA		
ANKRD13D	0.104107136	10459	NA		
ANKRD19	0.089312702	12599	NA		
ANKRD2	0.131167664	6588	NA		
ANKRD23	0.117700706	7910	NA		
ANKRD24	0.082263872	13234	NA		
ANKRD26	0.101562988	10906	NA		
ANKRD27	0.103532634	10560	NA		
ANKRD28	0.096831991	11632	NA		
ANKRD29	0.073991689	13659	NA		
ANKRD34B	0.093063998	12171	NA		
ANKRD42	0.104475826	10389	NA		
ANKRD44	0.108329734	9570	NA		
ANKRD45	0.094696498	11947	NA		
ANKRD46	0.090296459	12503	NA		
ANKRD49	0.112375546	8741	NA		
ANKRD5	0.093258554	12138	NA		
ANKRD50	0.108700874	9502	NA		
ANKRD53	0.093625414	12095	NA		
ANKRD54	0.112629347	8624	NA		
ANKRD6	0.110105489	9194	NA		
ANKS1A	0.116414055	8056	NA		
ANKS1B	0.209625724	3349	NA		
ANKS3	0.099110809	11299	NA		
ANKS4B	0.089803633	12549	NA		
ANKS6	0.103723252	10527	NA		
ANKZF1	0.074664749	13626	NA		
ANLN	0.152341038	5235	NA		
ANO1	0.122579272	7340	NA		
ANO10	0.095652933	11801	NA		
ANO3	0.128648634	6798	NA		
ANO4	0.132728394	6462	NA		
ANO5	0.116639577	8031	NA		
ANO7	0.105702576	10133	NA		
ANO8	0.093968075	12052	NA		
ANO9	0.096913775	11625	NA		
ANP32A	0.259915145	2485.5	NA		
ANP32B	0.108743146	9492	NA		
ANP32C	0.061131186	13981	NA		
ANP32E	0.136031626	6178	NA		
ANPEP	0.856724971	164	NA		
ANTXR1	0.135884977	6209	NA		
ANTXR2	0.108934031	9451	recessive		
ANUBL1	0.089753243	12555	NA		
ANXA1	0.519799207	854	NA		
ANXA10	0.093650564	12090	NA		
ANXA11	0.139393933	5996	NA		
ANXA13	0.127914831	6848	NA		
ANXA2	0.850561738	178.5	NA		
ANXA2P2	0.850561738	178.5	NA		
ANXA3	0.169516194	4499	NA		
ANXA4	0.196222083	3669	NA		
ANXA5	0.463576865	1048	NA		
ANXA6	0.208652529	3364	NA		
ANXA7	0.327438673	1813	NA		
ANXA8	0.134340025	6339	NA		
ANXA9	0.097706191	11507	NA		
AOAH	0.115228052	8202	NA		
AOC2	0.832255923	204	NA		
AOC3	0.202401594	3534	NA		
AOF1	0.122998802	7295	NA		
AOF2	0.211027913	3318	NA		
AOX1	0.401094381	1328	NA		
AP1B1	0.225458909	3040	NA		
AP1G1	0.119287079	7688	NA		
AP1G2	0.097222113	11582	NA		
AP1GBP1	0.098028482	11460	NA		
AP1M1	0.178212948	4182.5	NA		
AP1S1	0.138032852	6078	NA		
AP1S2	0.050687757	14061	NA		
AP1S3	0.103152386	10632	NA		
AP2A1	0.357837711	1600	NA		
AP2A2	0.151738998	5260	NA		
AP2B1	0.31324431	1933	NA		
AP2M1	0.247003781	2663	NA		
AP2S1	0.163060049	4723	NA		
AP3B1	0.3160816	1902	recessive		
AP3B2	0.1935255	3758	NA		
AP3D1	0.188467098	3886	NA		
AP3M1	0.127177045	6925	NA		
AP3M2	0.094225822	12017	NA		
AP3S1	0.142298242	5803	NA		
AP3S2	0.118095035	7840.5	NA		
AP4B1	0.110861198	9036	NA		
AP4E1	0.099572836	11235	NA		
AP4M1	0.138090929	6073	NA		
APAF1	0.54535884	777	NA		
APBA1	0.221379567	3103	NA		
APBA2	0.205247083	3442	NA		
APBA3	0.128760465	6793	NA		
APBB1	0.359534448	1581	NA		
APBB1IP	0.107715351	9712	NA		
APBB2	0.236525659	2826	NA		
APBB3	0.14066608	5911	NA		
APC	0.570927082	703	NA		
APC2	0.142499772	5769	NA		
APCDD1	0.109845147	9254	NA		
APCS	0.237134088	2817	NA		
APEH	0.304202877	1989	NA		
APEX1	0.759939849	308	NA		
APEX2	0.135447927	6254	NA		
APH1A	0.105748101	10125	NA		
APH1B	0.171704622	4411	NA		
API5	0.112629347	8624	NA		
APIP	0.119837191	7638	NA		
APITD1	0.266046433	2415.5	NA		
APLF	0.073254719	13687	NA		
APLN	0.028752688	14131	NA		
APLNR	0.191290822	3816	NA		
APLP1	0.61664557	588	NA		
APLP2	0.200361059	3577	NA		
APOA1BP	0.085688927	12950	NA		
APOA2	0.430864049	1178	NA		
APOA4	0.096869435	11629	NA		
APOA5	0.357153427	1604	NA		
APOB	0.882739425	134	NA		
APOBEC1	0.148911819	5409	NA		
APOBEC2	0.120321139	7585	NA		
APOBEC3C	0.059224139	13997	NA		
APOBEC3D	0.049224263	14066	NA		
APOBEC3F	0.050745094	14060	NA		
APOBEC3G	0.056802805	14024	NA		
APOBEC3H	0.118570352	7760	NA		
APOBEC4	0.089738123	12557	NA		
APOC1	0.471324961	1027	NA		
APOC2	0.102971244	10666	recessive		
APOC3	0.730680744	357	NA		
APOC4	0.295896081	2062	NA		
APOD	0.417600107	1248	NA		
APOE	0.997564154	8	recessive		
APOF	0.14509298	5631	NA		
APOH	0.649993792	503	NA		
APOL2	0.050829976	14059	NA		
APOL4	0.079557649	13404	lof-tolerant		
APOO	0.115328665	8192	NA		
APP	0.557408925	742	NA		
APPBP2	0.168629434	4531	NA		
APPL2	0.095593771	11809	NA		
APRT	0.094637053	11955	recessive		
APTX	0.292877356	2083	recessive		
AQP1	0.405887109	1307	NA		
AQP10	0.103752373	10522	NA		
AQP11	0.111093875	8984.5	NA		
AQP12A	0.088579231	12675	NA		
AQP2	0.606464092	613	NA		
AQP3	0.339017164	1737	NA		
AQP4	0.345471327	1695	NA		
AQP5	0.241050041	2748	NA		
AQP6	0.139832772	5966	NA		
AQP7	0.132406451	6491	NA		
AQP7P1	0.081000452	13332	NA		
AQP7P3	0.078737321	13450	NA		
AQP7P4	0.081083769	13324	NA		
AQP8	0.135698008	6243	NA		
AQP9	0.116641084	8030	NA		
AQR	0.099493288	11251	NA		
AR	0.974651079	37	NA		
ARAF	0.353003434	1639	NA		
ARAP1	0.17391275	4329	NA		
ARAP3	0.125823943	7024	NA		
ARC	0.139828536	5968	NA		
ARCN1	0.176115367	4256	NA		
ARD1A	0.281046212	2220	NA		
ARD1B	0.09160493	12346	NA		
AREG	0.102754055	10706	NA		
AREGB	0.319664219	1869	NA		
ARF1	0.220858067	3124	NA		
ARF4	0.362549146	1559	NA		
ARF5	0.135884977	6209	NA		
ARF6	0.413369372	1274.5	NA		
ARFGAP1	0.107299759	9802	NA		
ARFGAP2	0.128888122	6780	NA		
ARFGAP3	0.10665604	9946	NA		
ARFGEF1	0.282703339	2196	NA		
ARFGEF2	0.150114135	5321	NA		
ARFIP1	0.113235574	8451	NA		
ARFIP2	0.146096958	5582	NA		
ARFRP1	0.235086368	2851	NA		
ARG1	0.431268685	1177	recessive		
ARG2	0.487255065	961	NA		
ARGFX	0.052158263	14053	NA		
ARGLU1	0.068332573	13844	NA		
ARHGAP1	0.307843024	1966	NA		
ARHGAP10	0.122726885	7324	NA		
ARHGAP11A	0.080581933	13360	NA		
ARHGAP12	0.135101486	6281	NA		
ARHGAP15	0.126767688	6951	NA		
ARHGAP18	0.113085387	8474	NA		
ARHGAP20	0.133129095	6435	NA		
ARHGAP21	0.154728647	5111	NA		
ARHGAP22	0.135153251	6279	NA		
ARHGAP23	0.096429868	11681	NA		
ARHGAP24	0.124356408	7137	NA		
